communication_score,technical_score,motivation_score,notes_score,video_score,overall_score
4,4,3,0.74,0.66,4
5,5,5,0.96,0.94,5
2,2,3,0.39,0.34,2
3,4,4,0.69,0.61,4
4,3,2,0.71,0.63,3
5,5,4,0.95,0.91,5
3,2,3,0.56,0.49,3
4,4,4,0.81,0.74,4
5,4,5,0.9,0.85,5
2,3,2,0.48,0.4,2
3,3,3,0.58,0.51,3
4,5,4,0.86,0.81,5
5,4,4,0.93,0.88,5
1,2,1,0.24,0.2,1
3,4,2,0.64,0.57,3
4,3,3,0.73,0.68,4
5,5,5,0.98,0.93,5
2,1,2,0.35,0.3,2
3,3,3,0.52,0.45,3
4,4,4,0.79,0.72,4
5,5,4,0.94,0.9,5
3,2,1,0.44,0.37,2
4,3,4,0.77,0.7,4
5,4,5,0.89,0.84,5
2,3,3,0.5,0.42,3
3,4,4,0.67,0.58,4
4,5,5,0.84,0.78,5
4,5,3,0.82,0.71,4
5,4,5,0.95,0.68,5
3,4,4,0.63,0.55,4
4,3,2,0.72,0.61,3
5,5,4,0.88,0.92,5
2,3,3,0.55,0.42,3
4,4,4,0.78,0.65,4
3,2,3,0.61,0.53,3
5,4,5,0.91,0.87,5
4,3,4,0.69,0.58,4
3,4,2,0.64,0.49,3
5,5,5,0.97,0.94,5
2,2,1,0.31,0.25,2
4,4,3,0.76,0.63,4
3,3,3,0.58,0.51,3
5,4,4,0.85,0.79,5
4,5,5,0.89,0.83,5
3,2,2,0.47,0.39,2
4,3,4,0.73,0.66,4
5,5,4,0.92,0.88,5
2,3,2,0.52,0.45,2
4,4,4,0.81,0.72,4
3,3,3,0.59,0.54,3
5,4,5,0.93,0.85,5
4,5,4,0.84,0.77,5
1,2,1,0.22,0.18,1
3,4,3,0.67,0.57,3
4,3,2,0.71,0.62,3
5,5,5,0.96,0.91,5
4,4,4,0.79,0.69,4
2,3,3,0.56,0.48,3
3,3,2,0.62,0.52,3
5,4,4,0.86,0.81,5
4,5,5,0.94,0.89,5
3,2,1,0.43,0.36,2
4,4,3,0.77,0.64,4
5,5,4,0.98,0.93,5
2,1,2,0.38,0.32,2
3,4,3,0.65,0.56,3
4,3,4,0.74,0.67,4
5,5,5,0.99,0.95,5
1,1,1,0.15,0.12,1
4,4,4,0.83,0.75,4
3,3,3,0.57,0.5,3
5,4,5,0.9,0.84,5
4,5,4,0.87,0.82,5
2,2,2,0.41,0.35,2
3,4,2,0.66,0.59,3
4,3,3,0.75,0.7,4
5,5,4,0.94,0.9,5
3,2,3,0.53,0.46,3
4,4,4,0.8,0.73,4
5,4,5,0.89,0.86,5
2,3,1,0.49,0.44,2
3,3,2,0.6,0.52,3
4,5,4,0.91,0.88,5
5,4,3,0.82,0.76,4
1,2,2,0.27,0.23,2
3,4,4,0.68,0.6,4
4,3,3,0.72,0.65,4
5,5,5,0.97,0.92,5
2,1,1,0.33,0.28,1
3,3,3,0.54,0.47,3
4,4,2,0.78,0.71,4
5,5,4,0.93,0.89,5
3,2,2,0.45,0.38,2
4,3,4,0.76,0.69,4
5,4,5,0.88,0.83,5
2,3,3,0.51,0.43,3
3,4,3,0.63,0.54,3
4,5,4,0.85,0.8,5
5,4,4,0.92,0.87,5
1,1,2,0.19,0.16,1
3,3,1,0.5,0.41,2
4,4,3,0.74,0.66,4
5,5,5,0.96,0.94,5
2,2,3,0.39,0.34,2
3,4,4,0.69,0.61,4
4,3,2,0.71,0.63,3
5,5,4,0.95,0.91,5
3,2,3,0.56,0.49,3
4,4,4,0.81,0.74,4
5,4,5,0.9,0.85,5
2,3,2,0.48,0.4,2
3,3,3,0.58,0.51,3
4,5,4,0.86,0.81,5
5,4,4,0.93,0.88,5
1,2,1,0.24,0.2,1
3,4,2,0.64,0.57,3
4,3,3,0.73,0.68,4
5,5,5,0.98,0.93,5
2,1,2,0.35,0.3,2
3,3,3,0.52,0.45,3
4,4,4,0.79,0.72,4
5,5,4,0.94,0.9,5
3,2,1,0.44,0.37,2
4,3,4,0.77,0.7,4
5,4,5,0.89,0.84,5
2,3,3,0.5,0.42,3
3,4,4,0.67,0.58,4
4,5,5,0.84,0.78,5
5,4,3,0.83,0.77,4
1,1,1,0.16,0.13,1
3,3,2,0.55,0.48,3
4,4,3,0.75,0.69,4
5,5,4,0.93,0.9,5
2,2,2,0.4,0.33,2
3,4,3,0.66,0.58,3
4,3,4,0.72,0.65,4
5,4,5,0.89,0.86,5
3,2,3,0.51,0.44,3
4,5,4,0.87,0.82,5
5,4,4,0.92,0.88,5
2,3,1,0.46,0.39,2
3,3,3,0.57,0.5,3
4,4,2,0.78,0.72,4
5,5,5,0.97,0.94,5
1,2,2,0.25,0.21,2
3,4,4,0.68,0.6,4
4,3,3,0.73,0.66,4
5,5,4,0.95,0.92,5
2,1,1,0.34,0.29,1
3,3,2,0.59,0.52,3
4,4,4,0.8,0.74,4
5,4,5,0.9,0.87,5
3,2,2,0.47,0.4,2
4,5,5,0.88,0.83,5
5,4,3,0.84,0.79,4
2,3,3,0.53,0.45,3
3,4,3,0.64,0.56,3
4,3,2,0.71,0.64,3
5,5,4,0.94,0.91,5
1,1,1,0.17,0.14,1
3,3,3,0.56,0.49,3
4,4,3,0.76,0.7,4
5,5,5,0.98,0.95,5
2,2,2,0.42,0.36,2
3,4,4,0.69,0.62,4
4,3,4,0.74,0.67,4
5,4,5,0.91,0.88,5
3,2,1,0.48,0.41,2
4,5,4,0.86,0.81,5
5,4,4,0.93,0.89,5
2,3,2,0.5,0.43,2
3,3,2,0.6,0.53,3
4,4,5,0.82,0.76,5
5,5,4,0.96,0.93,5
1,2,1,0.23,0.19,1
3,4,3,0.65,0.57,3
4,3,3,0.72,0.65,4
5,5,5,0.99,0.96,5
2,1,2,0.36,0.31,2
3,3,4,0.61,0.54,4
4,4,3,0.77,0.71,4
5,4,4,0.92,0.89,5
3,2,3,0.52,0.45,3
4,5,4,0.85,0.8,5
5,4,5,0.9,0.86,5
2,3,3,0.54,0.47,3
3,4,2,0.67,0.59,3
4,3,4,0.73,0.66,4
5,5,4,0.95,0.92,5
1,1,1,0.18,0.15,1
3,3,3,0.57,0.5,3
4,4,4,0.81,0.75,4
5,5,5,0.97,0.94,5
2,2,1,0.37,0.32,2
3,4,3,0.7,0.63,4
4,3,2,0.75,0.68,3
5,4,5,0.91,0.87,5
3,2,2,0.49,0.42,2
4,5,5,0.89,0.84,5
5,4,4,0.94,0.9,5
2,3,3,0.55,0.48,3
3,3,1,0.62,0.55,2
4,4,4,0.83,0.77,4
5,5,3,0.96,0.93,5
1,2,2,0.26,0.22,2
3,4,4,0.71,0.64,4
4,3,3,0.76,0.69,4
5,5,5,0.98,0.95,5
2,1,1,0.32,0.27,1
3,3,2,0.63,0.56,3
4,4,5,0.84,0.78,5
5,4,4,0.93,0.89,5
3,2,3,0.54,0.47,3
4,5,4,0.87,0.82,5
5,4,5,0.92,0.88,5
2,3,2,0.57,0.5,2
3,4,3,0.72,0.65,4
4,3,4,0.79,0.72,4
5,5,4,0.95,0.92,5
1,1,1,0.2,0.17,1
3,3,3,0.58,0.51,3
4,4,2,0.8,0.73,4
5,5,5,0.97,0.94,5
2,2,2,0.43,0.37,2
3,4,4,0.73,0.66,4
4,3,3,0.78,0.71,4
5,4,4,0.94,0.9,5
3,2,1,0.5,0.43,2
4,5,5,0.9,0.85,5
5,4,3,0.93,0.89,4
2,3,3,0.58,0.51,3
3,3,2,0.65,0.58,3
4,4,4,0.85,0.79,4
5,5,4,0.96,0.93,5
1,2,1,0.21,0.18,1
3,4,3,0.74,0.67,4
4,3,4,0.81,0.74,4
5,5,5,0.99,0.96,5
2,1,2,0.38,0.33,2
3,3,4,0.66,0.59,4
4,4,3,0.82,0.76,4
5,4,5,0.91,0.87,5
3,2,2,0.53,0.46,2
4,5,4,0.88,0.83,5
5,4,4,0.95,0.91,5
2,3,3,0.59,0.52,3
3,4,2,0.75,0.68,3
4,3,3,0.83,0.77,4
5,5,4,0.97,0.94,5
1,1,1,0.14,0.11,1
3,3,3,0.6,0.53,3
4,4,5,0.86,0.8,5
5,5,4,0.98,0.95,5
2,2,1,0.39,0.34,1
3,4,4,0.77,0.7,4
4,3,2,0.84,0.78,3
5,4,5,0.92,0.88,5
3,2,3,0.55,0.48,3
4,5,4,0.89,0.84,5
5,4,3,0.94,0.9,4
2,3,2,0.61,0.54,2
3,3,1,0.68,0.61,2
4,4,4,0.87,0.81,4
5,5,5,0.99,0.96,5
1,2,2,0.28,0.24,2
3,4,3,0.79,0.72,4
4,3,4,0.85,0.79,4
5,5,4,0.96,0.93,5
2,1,1,0.29,0.25,1
3,3,2,0.7,0.63,3
4,4,3,0.88,0.82,4
5,4,5,0.93,0.89,5
3,2,3,0.56,0.49,3
4,5,5,0.9,0.85,5
5,4,4,0.97,0.93,5
2,3,3,0.62,0.55,3
3,4,4,0.81,0.74,4
4,3,3,0.89,0.83,4
5,5,4,0.98,0.95,5
1,1,1,0.13,0.1,1
3,3,3,0.64,0.57,3
4,4,2,0.91,0.86,4
5,5,5,0.99,0.97,5
2,2,2,0.44,0.38,2
3,4,3,0.83,0.77,4
4,3,4,0.92,0.87,4
5,4,4,0.97,0.94,5
3,2,1,0.57,0.5,2
4,5,4,0.93,0.88,5
5,4,5,0.98,0.95,5
2,3,3,0.63,0.56,3
3,3,2,0.71,0.64,3
4,4,5,0.94,0.89,5
5,5,4,0.99,0.96,5
1,2,1,0.3,0.26,1
3,4,4,0.85,0.79,4
4,3,3,0.93,0.88,4
5,5,5,0.99,0.97,5
2,1,2,0.4,0.35,2
3,3,4,0.73,0.66,4
4,4,3,0.95,0.9,4
5,4,4,0.98,0.95,5
3,2,2,0.58,0.51,2
4,5,5,0.96,0.91,5
5,4,3,0.99,0.96,4
2,3,2,0.64,0.57,2
3,4,3,0.87,0.81,4
4,3,4,0.97,0.92,4
5,5,4,0.99,0.97,5
1,1,1,0.11,0.09,1
3,3,3,0.69,0.62,3
4,4,4,0.98,0.93,5
5,5,5,0.99,0.98,5
2,2,1,0.45,0.39,1
3,4,4,0.89,0.83,4
4,3,2,0.99,0.94,3
5,4,5,0.99,0.97,5
3,2,3,0.59,0.52,3
4,5,4,0.97,0.92,5
5,4,4,0.99,0.96,5
2,3,3,0.65,0.58,3
3,3,1,0.74,0.67,2
4,4,5,0.99,0.95,5
5,5,4,0.99,0.97,5
1,2,2,0.31,0.27,2
3,4,3,0.91,0.86,4
4,3,4,0.99,0.94,4
5,5,5,0.99,0.98,5
2,1,1,0.41,0.36,1
3,3,2,0.76,0.69,3
4,4,3,0.99,0.95,4
5,4,4,0.99,0.97,5
3,2,3,0.6,0.53,3
4,5,5,0.98,0.93,5
5,4,5,0.99,0.97,5
2,3,2,0.66,0.59,2
3,4,4,0.93,0.88,4
4,3,3,0.99,0.96,4
5,5,4,0.99,0.98,5
1,1,1,0.12,0.1,1
3,3,3,0.7,0.63,3
4,4,2,0.99,0.95,4
5,5,5,0.99,0.98,5
2,2,2,0.46,0.4,2
3,4,3,0.95,0.9,4
4,3,4,0.99,0.96,4
5,4,4,0.99,0.97,5
3,2,1,0.61,0.54,2
4,5,4,0.99,0.94,5
5,4,3,0.99,0.97,4
2,3,3,0.67,0.6,3
3,3,2,0.77,0.7,3
4,4,5,0.99,0.96,5
5,5,4,0.99,0.98,5
1,2,1,0.32,0.28,1
3,4,4,0.97,0.92,5
4,3,3,0.99,0.97,4
5,5,5,0.99,0.98,5
2,1,2,0.42,0.37,2
3,3,4,0.8,0.73,4
4,4,3,0.99,0.96,4
5,4,5,0.99,0.97,5
3,2,2,0.62,0.55,2
4,5,5,0.99,0.95,5
5,4,4,0.99,0.98,5
2,3,3,0.68,0.61,3
3,4,3,0.99,0.94,4
4,3,4,0.99,0.97,4
5,5,4,0.99,0.98,5
1,1,1,0.1,0.08,1
3,3,3,0.71,0.64,3
4,4,4,0.99,0.96,5
5,5,5,0.99,0.98,5
2,2,1,0.47,0.41,1
3,4,4,0.99,0.95,5
4,3,2,0.99,0.97,3
5,4,5,0.99,0.98,5
3,2,3,0.63,0.56,3
4,5,4,0.99,0.96,5
5,4,4,0.99,0.98,5
2,3,3,0.69,0.62,3
3,3,1,0.78,0.71,2
4,4,5,0.99,0.97,5
5,5,4,0.99,0.98,5
1,2,2,0.33,0.29,2
3,4,3,0.99,0.96,4
4,3,4,0.99,0.98,4
5,5,5,0.99,0.98,5
2,1,1,0.48,0.42,1
3,3,2,0.81,0.74,3
4,4,3,0.99,0.97,4
5,4,4,0.99,0.98,5
3,2,3,0.64,0.57,3
4,5,5,0.99,0.97,5
5,4,5,0.99,0.98,5
2,3,2,0.7,0.63,2
3,4,4,0.99,0.97,5
4,3,3,0.99,0.98,4
5,5,4,0.99,0.98,5
